User_ID,Team,Timestamp,Link,Type
SK9V,green,11/11/19 19:26,homepage,search
SK9V,green,11/11/19 19:26,scholar,search
G9T5,yellow,11/11/19 19:26,homepage,search
NOSO,yellow,11/11/19 19:26,scholar,search
DU58,green,11/11/19 19:26,homepage,search
DU58,green,11/11/19 19:26,scholar,search
ES3R,yellow,11/11/19 19:26,scholar,search
DJEG,yellow,11/11/19 19:26,homepage,search
ES3R,yellow,11/11/19 19:26,homepage,search
ZCNM,yellow,11/11/19 19:27,homepage,search
ES3R,yellow,11/11/19 19:27,scholar,search
01UI,green,11/11/19 19:27,homepage,search
01UI,green,11/11/19 19:27,scholar,search
WOTF,green,11/11/19 19:27,scholar,search
SK9V,green,11/11/19 19:27,scholar,search
DU58,green,11/11/19 19:27,scholar,search
IKBJ,yellow,11/11/19 19:27,homepage,search
NP3J,green,11/11/19 19:27,scholar,search
5ITM,green,11/11/19 19:27,homepage,search
IKBJ,yellow,11/11/19 19:27,scholar,search
D49Q,red,11/11/19 19:27,homepage,recome
NP3J,green,11/11/19 19:27,homepage,search
ES3R,yellow,11/11/19 19:27,scholar,search
WOTF,green,11/11/19 19:27,scholar,search
5ITM,green,11/11/19 19:27,scholar,search
CVVU,yellow,11/11/19 19:27,homepage,search
ES3R,yellow,11/11/19 19:27,scholar,search
CVVU,yellow,11/11/19 19:28,scholar,search
SK9V,green,11/11/19 19:28,scholar,search
8IVJ,yellow,11/11/19 19:28,homepage,search
9P3N,green,11/11/19 19:28,scholar,search
01UI,green,11/11/19 19:28,scholar,search
ES3R,yellow,11/11/19 19:28,scholar,search
ES3R,yellow,11/11/19 19:28,scholar,search
ES3R,yellow,11/11/19 19:28,homepage,search
5ITM,green,11/11/19 19:28,scholar,search
9P3N,green,11/11/19 19:28,homepage,search
8IVJ,yellow,11/11/19 19:28,scholar,search
CVVU,yellow,11/11/19 19:29,scholar,search
ES3R,yellow,11/11/19 19:29,scholar,search
IKBJ,yellow,11/11/19 19:29,homepage,search
NP3J,green,11/11/19 19:29,scholar,search
WOTF,green,11/11/19 19:29,scholar,search
8IVJ,yellow,11/11/19 19:29,homepage,search
9P3N,green,11/11/19 19:29,scholar,search
ES3R,yellow,11/11/19 19:29,homepage,search
DU58,green,11/11/19 19:29,scholar,search
9P3N,green,11/11/19 19:29,homepage,search
DU58,green,11/11/19 19:29,scholar,search
DU58,green,11/11/19 19:29,homepage,search
NP3J,green,11/11/19 19:29,homepage,search
01UI,green,11/11/19 19:29,scholar,search
5ITM,green,11/11/19 19:29,homepage,search
ES3R,yellow,11/11/19 19:29,scholar,search
ZCNM,yellow,11/11/19 19:29,homepage,search
9P3N,green,11/11/19 19:29,homepage,search
DU58,green,11/11/19 19:29,homepage,search
5MGY,yellow,11/11/19 19:29,homepage,search
LKLR,green,11/11/19 19:29,scholar,search
5ITM,green,11/11/19 19:29,scholar,search
CVVU,yellow,11/11/19 19:30,scholar,search
IKBJ,yellow,11/11/19 19:30,homepage,search
ES3R,yellow,11/11/19 19:30,scholar,search
CVVU,yellow,11/11/19 19:30,scholar,search
DU58,green,11/11/19 19:30,homepage,search
5ITM,green,11/11/19 19:30,homepage,search
ES3R,yellow,11/11/19 19:30,homepage,search
ES3R,yellow,11/11/19 19:30,scholar,search
SK9V,green,11/11/19 19:30,scholar,search
01UI,green,11/11/19 19:30,scholar,search
SK9V,green,11/11/19 19:31,homepage,search
IKBJ,yellow,11/11/19 19:31,scholar,search
ES3R,yellow,11/11/19 19:31,scholar,search
01UI,green,11/11/19 19:31,scholar,search
5ITM,green,11/11/19 19:31,scholar,search
5MGY,yellow,11/11/19 19:31,homepage,search
9P3N,green,11/11/19 19:31,scholar,search
TYNN,yellow,11/11/19 19:31,homepage,search
WOTF,green,11/11/19 19:31,scholar,search
8IVJ,yellow,11/11/19 19:31,homepage,search
8IVJ,yellow,11/11/19 19:31,scholar,search
TDFS,blue,11/11/19 19:31,scholar,recome
ES3R,yellow,11/11/19 19:31,homepage,search
ES3R,yellow,11/11/19 19:31,scholar,search
CVVU,yellow,11/11/19 19:31,scholar,search
OH12,red,11/11/19 19:32,homepage,recome
ZCNM,yellow,11/11/19 19:32,homepage,search
WOTF,green,11/11/19 19:32,scholar,search
ES3R,yellow,11/11/19 19:32,scholar,search
5MGY,yellow,11/11/19 19:32,homepage,search
WOTF,green,11/11/19 19:32,scholar,search
ES3R,yellow,11/11/19 19:32,scholar,search
9P3N,green,11/11/19 19:32,scholar,search
TYNN,yellow,11/11/19 19:32,homepage,search
ES3R,yellow,11/11/19 19:32,scholar,search
IKBJ,yellow,11/11/19 19:32,homepage,search
WOTF,green,11/11/19 19:33,scholar,search
CVVU,yellow,11/11/19 19:33,scholar,search
ROGI,blue,11/11/19 19:33,homepage,search
5ITM,green,11/11/19 19:33,scholar,search
ROGI,blue,11/11/19 19:33,scholar,search
TYNN,yellow,11/11/19 19:33,homepage,search
DU58,green,11/11/19 19:33,homepage,search
OH12,red,11/11/19 19:33,scholar,recome
5MGY,yellow,11/11/19 19:33,homepage,search
8IVJ,yellow,11/11/19 19:33,scholar,search
ROGI,blue,11/11/19 19:33,scholar,search
5MGY,yellow,11/11/19 19:33,homepage,search
TYNN,yellow,11/11/19 19:33,homepage,search
SK9V,green,11/11/19 19:33,scholar,search
LKLR,green,11/11/19 19:33,scholar,search
TDFS,blue,11/11/19 19:33,scholar,recome
5MGY,yellow,11/11/19 19:34,homepage,search
JNMM,red,11/11/19 19:34,homepage,search
ROGI,blue,11/11/19 19:34,homepage,search
SK9V,green,11/11/19 19:34,scholar,search
ROGI,blue,11/11/19 19:34,scholar,search
DU58,green,11/11/19 19:34,homepage,search
OJWB,red,11/11/19 19:34,scholar,search
SK9V,green,11/11/19 19:34,homepage,search
CVVU,yellow,11/11/19 19:34,scholar,search
LKLR,green,11/11/19 19:34,homepage,search
TYNN,yellow,11/11/19 19:35,homepage,search
ROGI,blue,11/11/19 19:35,scholar,search
IKBJ,yellow,11/11/19 19:35,homepage,search
ROGI,blue,11/11/19 19:35,scholar,search
C5ZL,blue,11/11/19 19:35,homepage,recome
TDFS,blue,11/11/19 19:35,scholar,recome
OJWB,red,11/11/19 19:35,homepage,search
ROGI,blue,11/11/19 19:35,scholar,search
TYNN,yellow,11/11/19 19:35,homepage,search
OH12,red,11/11/19 19:36,homepage,recome
C5ZL,blue,11/11/19 19:36,scholar,recome
TYNN,yellow,11/11/19 19:36,homepage,search
CVVU,yellow,11/11/19 19:36,scholar,search
ZUMP,blue,11/11/19 19:36,scholar,search
C5ZL,blue,11/11/19 19:36,scholar,recome
TDFS,blue,11/11/19 19:36,scholar,recome
ZUMP,blue,11/11/19 19:37,homepage,search
ZUMP,blue,11/11/19 19:37,scholar,search
JNMM,red,11/11/19 19:37,scholar,search
SK9V,green,11/11/19 19:37,scholar,search
TYNN,yellow,11/11/19 19:37,homepage,search
OH12,red,11/11/19 19:37,homepage,recome
FDGO,red,11/11/19 19:37,homepage,search
IKBJ,yellow,11/11/19 19:37,homepage,search
NOSO,yellow,11/11/19 19:37,homepage,recome
FDGO,red,11/11/19 19:38,scholar,search
TYNN,yellow,11/11/19 19:38,homepage,search
TDFS,blue,11/11/19 19:38,scholar,recome
TYNN,yellow,11/11/19 19:38,homepage,search
N7P0,red,11/11/19 19:38,scholar,search
ZUMP,blue,11/11/19 19:38,scholar,search
ES3R,yellow,11/11/19 19:38,scholar,recome
FDGO,red,11/11/19 19:38,scholar,search
SK9V,green,11/11/19 19:38,scholar,search
FDGO,red,11/11/19 19:38,homepage,search
N7P0,red,11/11/19 19:38,scholar,search
FDGO,red,11/11/19 19:39,scholar,search
SK9V,green,11/11/19 19:39,homepage,search
LKLR,green,11/11/19 19:39,scholar,search
OH12,red,11/11/19 19:39,homepage,recome
LHQ5,blue,11/11/19 19:39,scholar,search
ES3R,yellow,11/11/19 19:39,scholar,recome
N7P0,red,11/11/19 19:39,scholar,search
TYNN,yellow,11/11/19 19:39,homepage,search
ES3R,yellow,11/11/19 19:39,scholar,recome
FDGO,red,11/11/19 19:40,scholar,search
LHQ5,blue,11/11/19 19:40,scholar,search
TYNN,yellow,11/11/19 19:40,homepage,search
N7P0,red,11/11/19 19:40,scholar,search
DU58,green,11/11/19 19:40,scholar,recome
DU58,green,11/11/19 19:40,homepage,recome
ES3R,yellow,11/11/19 19:40,scholar,recome
LHQ5,blue,11/11/19 19:40,scholar,search
OH12,red,11/11/19 19:41,homepage,recome
N7P0,red,11/11/19 19:41,scholar,search
N7P0,red,11/11/19 19:41,scholar,search
OAEG,blue,11/11/19 19:41,scholar,search
DU58,green,11/11/19 19:42,homepage,recome
N7P0,red,11/11/19 19:42,scholar,search
C5ZL,blue,11/11/19 19:42,homepage,search
TDFS,blue,11/11/19 19:42,scholar,search
TDFS,blue,11/11/19 19:42,scholar,search
C5ZL,blue,11/11/19 19:42,scholar,search
OH12,red,11/11/19 19:42,homepage,recome
OAEG,blue,11/11/19 19:43,homepage,search
OAEG,blue,11/11/19 19:43,scholar,search
TDFS,blue,11/11/19 19:43,scholar,search
OAEG,blue,11/11/19 19:43,scholar,search
OH12,red,11/11/19 19:43,homepage,recome
C5ZL,blue,11/11/19 19:43,scholar,search
OAEG,blue,11/11/19 19:44,scholar,search
TDFS,blue,11/11/19 19:44,scholar,search
C5ZL,blue,11/11/19 19:44,scholar,search
IKBJ,yellow,11/11/19 19:44,homepage,recome
OAEG,blue,11/11/19 19:44,scholar,search
C5ZL,blue,11/11/19 19:44,scholar,search
C5ZL,blue,11/11/19 19:45,scholar,search
OAEG,blue,11/11/19 19:45,scholar,search
TDFS,blue,11/11/19 19:46,scholar,search
IKBJ,yellow,11/11/19 19:46,homepage,recome
C5ZL,blue,11/11/19 19:46,homepage,search
C5ZL,blue,11/11/19 19:46,scholar,search
OAEG,blue,11/11/19 19:46,scholar,search
IKBJ,yellow,11/11/19 19:46,homepage,recome
TYNN,yellow,11/11/19 19:46,homepage,recome
IKBJ,yellow,11/11/19 19:47,homepage,recome
TYNN,yellow,11/11/19 19:48,homepage,recome
TYNN,yellow,11/11/19 19:48,homepage,recome
TYNN,yellow,11/11/19 19:49,homepage,recome
TYNN,yellow,11/11/19 19:50,homepage,recome
OH12,red,11/11/19 19:50,homepage,search
OH12,red,11/11/19 19:51,homepage,search
OH12,red,11/11/19 19:51,homepage,search
OH12,red,11/11/19 19:52,homepage,search
OH12,red,11/11/19 19:53,homepage,search
OH12,red,11/11/19 19:53,homepage,search
OH12,red,11/11/19 19:54,homepage,search
OH12,red,11/11/19 19:55,homepage,search
OH12,red,11/11/19 19:55,homepage,search