User_ID,team,Timestamp,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
JNMM,red,2019-11-11 19:23:00,3,4,5,3,1,5,5,5,5,5
ROGI,blue,2019-11-11 19:23:15,3,4,5,3,2,5,5,4,3,4
SK9V,green,2019-11-11 19:23:31,4,4,5,5,3,5,5,4,4,3
BBRP,blue,2019-11-11 19:23:41,4,4,5,4,4,5,5,4,3,3
OAEG,blue,2019-11-11 19:23:55,4,4,5,5,1,4,5,3,2,1
OJWB,red,2019-11-11 19:24:11,4,4,5,5,4,5,5,4,5,5
NOSO,yellow,2019-11-11 19:24:16,3,4,5,5,3,5,5,2,3,2
DU58,green,2019-11-11 19:24:19,4,4,5,5,3,5,5,4,5,3
ES3R,yellow,2019-11-11 19:24:21,3,5,5,3,2,5,5,4,4,4
WOTF,green,2019-11-11 19:24:25,4,5,5,5,3,5,5,5,5,5
QDRT,green,2019-11-11 19:24:32,2,4,5,5,2,5,5,4,4,5
01UI,green,2019-11-11 19:24:34,2,5,3,5,4,5,5,4,3,2
G9T5,yellow,2019-11-11 19:24:43,2,4,5,5,1,4,4,2,3,3
M3VR,blue,2019-11-11 19:24:45,4,4,5,5,4,5,5,5,5,5
DJEG,yellow,2019-11-11 19:24:47,4,3,5,5,3,5,5,3,3,2
ZUMP,blue,2019-11-11 19:24:51,4,5,5,5,4,4,5,4,3,4
45UW,blue,2019-11-11 19:24:54,1,4,5,3,1,5,5,3,3,2
N7P0,red,2019-11-11 19:24:56,3,5,5,5,3,5,5,4,3,4
IKBJ,yellow,2019-11-11 19:24:57,4,4,5,5,3,5,5,5,5,4
NP3J,green,2019-11-11 19:25:05,1,4,5,5,2,5,5,3,2,3
TDFS,blue,2019-11-11 19:25:06,1,4,3,5,1,5,5,3,3,3
FGGG,blue,2019-11-11 19:25:06,1,5,5,5,3,4,4,3,2,3
QI92,green,2019-11-11 19:25:08,3,4,3,5,2,4,5,4,4,4
CVVU,yellow,2019-11-11 19:25:12,3,5,5,5,2,5,5,5,5,3
D49Q,red,2019-11-11 19:25:15,2,4,3,5,5,4,5,3,3,2
C2MH,red,2019-11-11 19:25:18,4,4,5,5,4,5,5,4,5,4
9HVH,red,2019-11-11 19:25:22,3,4,5,5,3,5,5,4,5,3
801Z,red,2019-11-11 19:25:33,3,5,5,5,2,3,2,3,2,1
LHQ5,blue,2019-11-11 19:25:34,4,4,5,5,3,5,5,3,3,2
FDGO,red,2019-11-11 19:25:35,1,4,5,3,2,5,5,4,3,3
9P3N,green,2019-11-11 19:25:46,3,4,5,3,2,5,5,3,3,3
ZCNM,yellow,2019-11-11 19:25:47,4,4,5,5,4,5,5,4,4,4
5ITM,green,2019-11-11 19:25:51,1,4,5,5,3,5,5,4,3,3
8IVJ,yellow,2019-11-11 19:25:57,3,4,5,5,3,5,5,5,3,3
TJLN,green,2019-11-11 19:26:04,2,4,5,5,2,4,5,4,3,3
C5ZL,blue,2019-11-11 19:26:34,4,4,5,5,4,5,5,3,3,3
HSWX,blue,2019-11-11 19:26:40,3,4,5,5,2,4,5,3,3,2
TYNN,yellow,2019-11-11 19:26:49,1,4,5,5,3,4,5,3,2,2
2H6O,red,2019-11-11 19:24:11,3,4,5,4,3,4,5,3,3,3
5MGY,yellow,2019-11-11 19:24:27,2,5,4,5,4,5,5,4,5,5
OH12,red,2019-11-11 19:22:51,3,5,5,5,1,5,4,5,3,4
LKLR,green,2019-11-11 19:24:38,3,4,5,4,3,4,5,5,5,3